------------------------------------------------query1-----------------------------------------------

 mike_conley     | torontoist
 kevinrose       | pschiller
 alexia          | amac
 sarahcuda       | johndoerr
 rabois          | parislemon
 elatable        | bhorowitz
 parislemon      | bgurley
 JVascellaro     | JBoorstin
 drewhouston     | BillGates
 naval           | adamdangelo
 naval           | davemcclure
 peterpham       | peterfenton
 rabois          | jack
 shervin         | HowardStern
 stevenjayl      | amac
 lessig          | mattcutts
 bingfish        | waltmossberg
 bgurley         | dickc
 QueenRania      | Chad_Hurley
 johnbattelle    | ginab
 MarcBodnick     | paultoo
 paulg           | timoreilly
 gvwilson        | shazow
 summersoulTO    | gvwilson
 bgarlinghouse   | geoff_yang
 edyson          | davemcclure
 pud             | cdixon
 randizuckerberg | BillGates
 jeff            | KatieS
 paultoo         | timoreilly
 satishd         | om
 pgries          | mike_conley
 edyson          | ginab
 mmccue          | katiecouric
 sarahcuda       | timoreilly
 rtulk           | plagal
 avibryant       | RonConwayFacts
 joshu           | nicknotned
 fredwilson      | nickbilton
 karaswisher     | cdixon
 naval           | asenkut
 gvanrossum      | algore
 pschiller       | algore
 karenreid       | isaacezer
 pud             | RonConwayFacts
 quixotic        | TEDchris
 asenkut         | Bill_Gross
 rabois          | MarcBodnick
 kevinrose       | rabois
 erickschonfeld  | nicknotned
 btaylor         | mlevchin
 johndoerr       | algore
 Borthwick       | paulg
 marissamayer    | McAndrew
 shervin         | ioerror
 flaps           | Joi
 JVascellaro     | adambain
 cdixon          | Harjeet
 kevinrose       | SteveCase
 zuzelvp         | karenreid
 quixotic        | waltmossberg
 mmccue          | AlecJRoss
 johndoerr       | bhorowitz
 ccheever        | tristanwalker
 stevenjayl      | lessig
 ginab           | cdixon
 lessig          | zephoria
 JVascellaro     | satishd
 McAndrew        | Chad_Hurley
 jobias          | BillGates
 joelcrocker     | ariannahuff
 zuzelvp         | plagal
 ev              | adamdangelo
 randizuckerberg | btaylor
 kevin           | TechCrunch
 dianelynnhorton | irvingreid
 mlevchin        | fredwilson
 gvanrossum      | lhawthorn
 parislemon      | JasonHirschhorn
 jack            | RonConwayFacts
 marissamayer    | dens
 marissamayer    | parislemon
 johndoerr       | m2jr
 ccheever        | brianp
 dannyrimer      | bhorowitz
 adamlashinsky   | davidhornik
 RonConwayFacts  | andrewmason
 geoff_yang      | dickc
 johndoerr       | jack
 jharjono        | Dropbox
 timoreilly      | ericries
 marissamayer    | zephoria
 quixotic        | BradStone
 karenreid       | fosslc
 garrytan        | instagram
 foundersatwork  | quixotic
 dianelynnhorton | jharjono
 jddimarco       | adinscannell
 naval           | jhuber
 om              | kn0thing
 SteveCase       | McAndrew
 mkapor          | carr2n
 lessig          | algore
 pud             | SteveMartinToGo
 Borthwick       | quixotic
 stop            | fredwilson
 RonConwayFacts  | Harjeet
 markpinc        | biz
 BillGates       | KatieS
 karenreid       | gvwilson
 JVascellaro     | stop
 markpinc        | finkd
 ariannahuff     | jimmyfallon
 bhorowitz       | SteveCase
 RonConwayFacts  | drewhouston
 peterpham       | joshu
 waltmossberg    | BillGates
 om              | stop
 QueenRania      | TechCrunch
 marissamayer    | ycombinator
 stevenjayl      | Chad_Hurley
 bijan           | codinghorror
 johndoerr       | zephoria
 drewhouston     | markoff
 bwinton         | Dropbox
 fredwilson      | lessig
 mike_conley     | jrrmzz
 randizuckerberg | hblodget
 mkapor          | asenkut
 erickschonfeld  | Gladwell
 markpinc        | peterfenton
 davidhornik     | hotdogsladies
 stevenjayl      | ericschmidt
 Joseph_Y        | wolever
 quixotic        | cshirky
 davidhornik     | cdixon
 markoff         | NickKristof
 pud             | instagram
 marissamayer    | jack
 edyson          | ariannahuff
 gideonyu        | BradStone
 cdixon          | foundersatwork
 Benchmark       | peterfenton
 adambain        | nikesharora
 zephoria        | ioerror
 hblodget        | mattcutts
 karaswisher     | instagram
 fredwilson      | marissamayer
 mlevchin        | asenkut
 jddimarco       | lizblankenship
 nikesharora     | ariannahuff
 lance_          | gvanrossum
 ericries        | bgurley
 amac            | jack
 kevin           | nickbilton
 davidhornik     | bgurley
 pud             | HowardStern
 johndoerr       | RonConway
 jddimarco       | mkapor
 ericschmidt     | edyson
 bhorowitz       | TechCrunch
 btaylor         | Benchmark
 adamlashinsky   | davemcclure
 erhanerdogan    | pud
 rtulk           | neilernst
 shawnkono       | torontoist
 mmccue          | pierre
 karaswisher     | randizuckerberg
 lance_          | cssu
 fredwilson      | erhanerdogan
 bgurley         | TEDchris
 garrytan        | bijan
 joelcrocker     | torontoist
 karaswisher     | SteveMartinToGo
 markoff         | jack
 dickc           | bingfish
 pgries          | irvingreid
 lhawthorn       | amac
 ccheever        | elatable
 mike_conley     | flaps
 parislemon      | instagram
 nickbilton      | zittrain
 gvwilson        | lhawthorn
 naval           | fredwilson
 gvanrossum      | mattcutts
 BradStone       | dickc
 adamdangelo     | Bill_Gross
 JBoorstin       | markpinc
 m2jr            | Bill_Gross
 elatable        | ycombinator
 fredwilson      | amac
 karaswisher     | peterfenton
 yorchopolis     | adinscannell
 jharjono        | HeatherLeson
 paultoo         | mattcutts
 hblodget        | vkhosla
 stevenjayl      | carr2n
 gideonyu        | peterpham
 spolsky         | dannyrimer
 markoff         | BillGates
 davidhornik     | adambain
 edyson          | SteveCase
 stop            | marissamayer
 JBoorstin       | bgurley
 phyllers        | shazow
 randizuckerberg | dens
 lessig          | timoreilly
 Chad_Hurley     | andrewmason
 geoff_yang      | davemorin
 mike_conley     | notch
 adamlashinsky   | Chad_Hurley
 karaswisher     | finkd
 peterpham       | RonConwayFacts
 MarcBodnick     | erickschonfeld
 pgries          | yorchopolis
 asenkut         | satishd
 markpinc        | Oprah
 Joi             | vkhosla
 davidhornik     | om
 Bill_Gross      | RonConway
 naval           | joshk
 TEDchris        | karaswisher
 mkapor          | ericschmidt
 ariannahuff     | QueenRania
 Bill_Gross      | NickKristof
 eladgil         | jack
 Borthwick       | JVascellaro
 nikesharora     | mcuban
 sarahcuda       | RonConway
 stop            | TechCrunch
 timoreilly      | BillGates
 McAndrew        | jhuber
 kevin           | adamdangelo
 cjmuise         | plagal
 irvingreid      | swcarpentry
 kn0thing        | jimmyfallon
 markoff         | mmccue
 mmccue          | gideonyu
 pchelinn        | hyfen
 quixotic        | peterpham
 tristanwalker   | sarahcuda
 edyson          | elatable
 katiecouric     | SteveCase
 sacca           | Joi
 jeff            | Borthwick
 jharjono        | TechCrunch
 rabois          | hblodget
 bingfish        | davemorin
 elatable        | vkhosla
 aran_donohue    | wolever
 vkhosla         | gideonyu
 shawnkono       | isaacezer
 peterfenton     | iamwill
 Joseph_Y        | jeffbalogh
 mlevchin        | Chad_Hurley
 marissamayer    | BillGates
 JasonHirschhorn | Benchmark
 mlevchin        | ericschmidt
 markpinc        | randizuckerberg
 adambain        | Oprah
 btaylor         | quixotic
 btaylor         | pkedrosky
 davemorin       | SteveMartinToGo
 johndoerr       | BillGates
 paulg           | avibryant
 gvwilson        | gvanrossum
 peterpham       | JasonHirschhorn
 peterfenton     | Joi
 jeff            | dickc
 peterpham       | cdixon
 bwinton         | notch
 jharjono        | marissamayer
 sarahcuda       | m2jr
 adambain        | HowardStern
 johnbattelle    | pschiller
 dianelynnhorton | wolever
 pchelinn        | bwinton
 karaswisher     | nicknotned
 eladgil         | RonConway
 jack            | stop
 mmccue          | Borthwick
 bgurley         | sacca
 vkhosla         | quixotic
 biz             | rabois
 bijan           | parislemon
 bgurley         | Scobleizer
 vkhosla         | cshirky
 JVascellaro     | ioerror
 gvanrossum      | BillGates
 nikesharora     | marissamayer
 mattcohler      | NickKristof
 McAndrew        | ginab
 gideonyu        | Caterina
 joshu           | Bill_Gross
 jeff            | waltmossberg
 JBoorstin       | Bill_Gross
 asmartbear      | msuster
 JasonHirschhorn | katiecouric
 elatable        | johndoerr
 RonConwayFacts  | JVascellaro
 randizuckerberg | ericries
 johndoerr       | dannyrimer
 QueenRania      | shervin
 avibryant       | adambain
 instagram       | jack
 joelcrocker     | gvwilson
 vkhosla         | TEDchris
 peterpham       | HowardStern
 dianelynnhorton | yorchopolis
 karaswisher     | joshu
 gvwilson        | remarkk
 erickschonfeld  | Bill_Gross
 adamlashinsky   | amac
 aplusk          | davemorin
 mlevchin        | SteveCase
 erickschonfeld  | HowardStern
 peterpham       | Bill_Gross
 cjmuise         | andrewtrusty
 adinscannell    | nickbilton
 stevenjayl      | fredwilson
 adamlashinsky   | elatable
 alexia          | ccheever
 satishd         | cdixon
 btaylor         | paulg
 adamgoucher     | wolever
 quixotic        | zittrain
 m2jr            | satishd
 adamlashinsky   | pschiller
 vkhosla         | waltmossberg
 JBoorstin       | Oprah
 bijan           | bhorowitz
 kevin           | kevinrose
 BillGates       | aplusk
 davemorin       | RonConwayFacts
 bgarlinghouse   | adambain
 Caterina        | jeff
 ccheever        | adamdangelo
 asenkut         | msuster
 bingfish        | ev
 aran_donohue    | yorchopolis
 mattcohler      | MarcBodnick
 paultoo         | algore
 ericries        | msuster
 btaylor         | waltmossberg
 Borthwick       | stevebmicrosoft
 dannyrimer      | mmccue
 fosslc          | codinghorror
 btaylor         | andrewmason
 mmccue          | andrewmason
 quixotic        | johnbattelle
 cshirky         | sacca
 adamlashinsky   | lessig
 satishd         | bgurley
 m2jr            | erickschonfeld
 karaswisher     | markpinc
 randizuckerberg | pud
 quixotic        | edyson
 andrewtrusty    | mike_conley
 McAndrew        | shervin
 zuzelvp         | rtulk
 erickschonfeld  | SteveMartinToGo
 mattcohler      | jack
 JBoorstin       | randizuckerberg
 pchelinn        | adamgoucher
 RonConway       | biz
 johndoerr       | timoreilly
 codinghorror    | cshirky
 JBoorstin       | SteveMartinToGo
 MarcBodnick     | msuster
 adamlashinsky   | SteveCase
 hblodget        | johndoerr
 mlevchin        | iamwill
 spolsky         | BillGates
 jharjono        | nytimes
 drewhouston     | pud
 cjmuise         | neilernst
 bijan           | kevin
 Benchmark       | bgurley
 mattcohler      | zephoria
 mmccue          | drewhouston
 vkhosla         | mattcohler
 om              | geoff_yang
 ericschmidt     | aplusk
 adamlashinsky   | mcuban
 btaylor         | mattcohler
 mattcohler      | karaswisher
 gideonyu        | mkapor
 adamlashinsky   | rabois
 BradStone       | mlevchin
 nikesharora     | nytimes
 shawnkono       | iamwill
 pgries          | wolever
 jeff            | andrewmason
 davidhornik     | peterfenton
 aran_donohue    | hotdogsladies
 bwinton         | jonpipitone
 bingfish        | mkapor
 irvingreid      | isaacezer
 marissamayer    | TEDchris
 waltmossberg    | mkapor
 UCOSP           | fosslc
 VevWong         | jaygoldman
 ericschmidt     | BillGates
 Joi             | paulg
 satishd         | tristanwalker
 karaswisher     | davemcclure
 adamlashinsky   | randizuckerberg
 tristanwalker   | andrewrsorkin
 fredwilson      | erickschonfeld
 LilaFontes      | hotdogsladies
 pgries          | gvwilson
 mlevchin        | Bill_Gross
 peterfenton     | RonConwayFacts
 alexia          | adamlashinsky
 phyllers        | bwinton
 dannyrimer      | dickc
 johndoerr       | waltmossberg
 dens            | om
 gvanrossum      | paulg
 lizblankenship  | wolever
 adambain        | nytimes
 fredwilson      | Gladwell
 bijan           | stevebmicrosoft
 phyllers        | hyfen
 stevenjayl      | adamlashinsky
 zuzelvp         | phyllers
 biz             | hotdogsladies
 kevin           | biz
 JBoorstin       | mcuban
 Oprah           | ev
 stevenjayl      | nicknotned
 mattcutts       | alexia
 sarahcuda       | zittrain
 lizblankenship  | jobias
 Borthwick       | bhorowitz
 marissamayer    | sarahcuda
 mattcohler      | davemorin
 TEDchris        | edyson
 RonConwayFacts  | RonConway
 kevin           | stop
 hblodget        | waltmossberg
 Borthwick       | McAndrew
 johndoerr       | TEDchris
 erickschonfeld  | brianp
 marissamayer    | paulg
 peterpham       | mcuban
 cdixon          | kevin
 geoff_yang      | dens
 lessig          | BradStone
 asenkut         | jhuber
 JBoorstin       | jimmyfallon
 peterpham       | amac
 erickschonfeld  | iamwill
 BradStone       | dens
 markpinc        | ericschmidt
 davidhornik     | jhuber
 adamlashinsky   | bijan
 ericries        | kevinrose
 markpinc        | Chad_Hurley
 McAndrew        | markpinc
 spolsky         | cshirky
 sarahcuda       | KatieS
 peterpham       | jimmyfallon
 bgurley         | m2jr
 karaswisher     | shervin
 amac            | paulg
 sarahcuda       | Caterina
 biz             | RonConwayFacts
 johndoerr       | mattcohler
 nickbilton      | longreads
 TEDchris        | zittrain
 adamlashinsky   | Bill_Gross
 bijan           | katiecouric
 btaylor         | johndoerr
 joshu           | notch
 gvanrossum      | drewhouston
 jhuber          | nikesharora
 bhorowitz       | markpinc
 johnbattelle    | geoff_yang
 satishd         | jeff
 RonConwayFacts  | bgarlinghouse
 mkapor          | Bill_Gross
 waltmossberg    | Scobleizer
 karenreid       | irvingreid
 JBoorstin       | marissamayer
 joelcrocker     | wolever
 vkhosla         | timoreilly
 bingfish        | algore
 nytimes         | andrewrsorkin
 karaswisher     | asenkut
 ycombinator     | garrytan
 JVascellaro     | ericschmidt
 markoff         | paulg
 naval           | cdixon
 fredwilson      | adambain
 BradStone       | bhorowitz
 karenreid       | jaygoldman
 rabois          | Borthwick
 om              | tristanwalker
 elatable        | paulg
 Caterina        | hotdogsladies
 pud             | ginab
 ev              | RonConwayFacts
